Workload,Estimation,Average Error,MAE,EA,MAPE,TAU,MAE_OVER,MAE_UNDER,%_OVER,%_UNDER,%_EXACT,MAE_S,MAE_OVER_S,MAE_UNDER_S,%_OVER_S,%_UNDER_S,%_EXACT_S,MAE_M,MAE_OVER_M,MAE_UNDER_M,%_OVER_M,%_UNDER_M,%_EXACT_M,MAE_L,MAE_OVER_L,MAE_UNDER_L,%_OVER_L,%_UNDER_L,%_EXACT_L
Heavy_1,1 - User,15:21:09,55269.97111111111,0.11206011503457781,2897.062409085071,-0.4361295078075652,55269.97111111111,0.0,1.0,0.0,0.0,73308.0501968504,73308.0501968504,0.0,1.0,0.0,0.0,33107.458609271525,33107.458609271525,0.0,1.0,0.0,0.0,27822.577777777777,27822.577777777777,0.0,1.0,0.0,0.0
Heavy_1,2 - Actual,00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Heavy_1,3 - Heuristic,01:00:39,3639.1922222222224,0.26173115802945646,49.40272179758611,0.3449759696866501,2056.633333333333,8443.156599552573,0.75,0.24833333333333332,0.0016666666666666668,1772.5521653543308,1796.755489021956,47.0,0.9862204724409449,0.011811023622047244,0.001968503937007874,1894.859271523179,2574.642642642643,1063.4777777777779,0.5513245033112583,0.4470198675496689,0.0016556291390728477,20028.544444444444,7916.666666666667,21129.62424242424,0.08333333333333333,0.9166666666666666,0.0
Heavy_1,4 - DT,00:54:17,3257.4977777777776,0.5789328819442975,3.90038495758187,0.6659424258581456,3212.28165374677,4923.01749271137,0.43,0.3811111111111111,0.18888888888888888,839.9015748031496,1939.632420091324,15.369918699186991,0.4311023622047244,0.2421259842519685,0.32677165354330706,2490.5794701986756,3734.0068027210887,1341.6237623762377,0.4867549668874172,0.5016556291390728,0.011589403973509934,19476.922222222223,12832.119047619048,21656.182481751825,0.23333333333333334,0.7611111111111111,0.005555555555555556
Heavy_1,5 - RNP,01:19:11,4751.209444444445,0.5574473779003757,15.649739404375396,0.5537785069780659,8097.084569732938,4427.384835479256,0.37444444444444447,0.3883333333333333,0.23722222222222222,2087.9143700787404,6844.601941747573,21.93425605536332,0.30413385826771655,0.2844488188976378,0.41141732283464566,4387.73178807947,7494.639072847682,1315.6768707482993,0.5,0.4867549668874172,0.013245033112582781,21003.7,17128.126984126986,23289.603448275862,0.35,0.6444444444444445,0.005555555555555556
Heavy_1,6 - KNN,00:58:04,3484.447777777778,0.2938950449948589,94.64112872415241,0.251805615522222,2967.8415492957747,5576.344173441735,0.7888888888888889,0.205,0.006111111111111111,2836.1102362204724,2915.635627530364,32.30769230769231,0.9724409448818898,0.025590551181102362,0.001968503937007874,2004.3940397350993,2670.3573200992555,700.5208333333334,0.6672185430463576,0.31788079470198677,0.014900662251655629,12110.355555555556,8880.448275862069,12730.668874172185,0.16111111111111112,0.8388888888888889,0.0
Heavy_1,7 - LLM,00:06:19,379.89166666666665,0.6920214064621261,5.3775074349763035,0.7729219738664365,522.237380627558,1584.2368421052631,0.4072222222222222,0.10555555555555556,0.4872222222222222,197.2775590551181,335.752107925801,32.51219512195122,0.5836614173228346,0.040354330708661415,0.37598425196850394,379.89166666666665,869.0083333333333,308.56666666666666,0.1986754966887417,0.1986754966887417,0.6026490066225165,1900.3444444444444,3970.9,9056.689655172413,0.1111111111111111,0.16111111111111112,0.7277777777777777
Heavy_2,1 - User,15:30:02,55802.13285158421,0.11187679934098999,2941.715390794818,-0.44085078905165276,55802.13285158421,0.0,1.0,0.0,0.0,74723.0879765396,74723.0879765396,0.0,1.0,0.0,0.0,32126.189683860233,32126.189683860233,0.0,1.0,0.0,0.0,26505.588571428572,26505.588571428572,0.0,1.0,0.0,0.0
Heavy_2,2 - Actual,00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Heavy_2,3 - Heuristic,01:01:47,3707.128404669261,0.26523402352057873,50.127792353515055,0.3166682630710927,2056.0246268656715,8621.257709251102,0.7448582545858811,0.25236242356864924,0.0027793218454697055,1728.5493646138807,1755.8589870903675,14.181818181818182,0.9843597262952102,0.010752688172043012,0.004887585532746823,1801.7371048252912,2502.2987421383646,1014.5335689045936,0.5291181364392679,0.47088186356073214,0.0,21816.994285714285,12746.133333333333,22667.3875,0.08571428571428572,0.9142857142857143,0.0
Heavy_2,4 - DT,00:59:21,3561.9527515286272,0.5838042608083429,2.3496630682551074,0.6786761025785711,3420.57027027027,5444.846910112359,0.4113396331295164,0.39577543079488603,0.19288493607559756,583.1955034213099,1385.5948477751756,19.224806201550386,0.4173998044965787,0.25219941348973607,0.3304007820136852,2787.9217970049917,4737.575645756458,1220.1183800623053,0.4509151414309484,0.5341098169717138,0.014975041597337771,23633.16,15611.666666666666,26166.263157894737,0.24,0.76,0.0
Heavy_2,5 - RNP,01:20:51,4851.139521956643,0.5724579750014863,9.767804393189692,0.5714547070588307,8471.170015455951,4465.409903713893,0.3596442468037799,0.40411339633129517,0.23624235686492495,1706.3020527859237,6208.185714285714,22.601246105919003,0.27370478983382207,0.31378299120234604,0.4125122189638319,4659.5424292845255,8122.526143790849,1078.3972602739725,0.5091514143094842,0.4858569051580699,0.004991680532445923,23892.96,20607.573770491803,25650.929824561405,0.3485714285714286,0.6514285714285715,0.0
Heavy_2,6 - KNN,01:00:50,3650.962757087271,0.2914970547106825,95.40086995648662,0.23928086265348764,3131.199858757062,5721.9919571045575,0.7871039466370205,0.20733740967204004,0.005558643690939411,2942.9139784946237,2997.868525896414,41.166666666666664,0.9814271749755621,0.017595307917888565,0.0009775171065493646,2074.173044925125,2856.1044386422977,730.5741626794259,0.6372712146422629,0.34775374376039936,0.014975041597337771,13205.16,11380.379310344828,13567.616438356165,0.1657142857142857,0.8342857142857143,0.0
Heavy_2,7 - LLM,00:05:44,344.2568093385214,0.6908497762624739,3.3318573133130966,0.7648914667620439,619.8937329700273,851.3782383419689,0.40800444691495275,0.10728182323513062,0.4847137298499166,139.38514173998044,238.82910321489,27.22641509433962,0.5777126099706745,0.05180840664711633,0.3704789833822092,344.2568093385214,2201.7076923076925,397.704,0.21630615640599002,0.2079866888519135,0.5757071547420965,804.5257142857142,2125.5384615384614,7544.0,0.07428571428571429,0.08571428571428572,0.84
Heavy_3,1 - User,15:30:44,55844.54722222222,0.10864468220279104,2916.716435752882,-0.4381518424131389,55844.54722222222,0.0,1.0,0.0,0.0,73890.8543876567,73890.8543876567,0.0,1.0,0.0,0.0,32254.79595278246,32254.79595278246,0.0,1.0,0.0,0.0,28048.676470588234,28048.676470588234,0.0,1.0,0.0,0.0
Heavy_3,2 - Actual,00:00:00,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Heavy_3,3 - Heuristic,01:03:14,3794.8122222222223,0.2505500481815768,53.23535719765666,0.30668456898848484,2137.0354243542433,8882.571106094809,0.7527777777777778,0.2461111111111111,0.0011111111111111111,1882.4455159112827,1902.3684210526317,26.6,0.9893924783027965,0.009643201542912247,0.0009643201542912247,1888.3743676222598,2659.217665615142,1006.6690909090909,0.5345699831365935,0.463743676222597,0.0016863406408094434,22110.352941176472,8406.75,23151.132911392404,0.07058823529411765,0.9294117647058824,0.0
Heavy_3,4 - DT,00:56:51,3411.3555555555554,0.5757918334303183,4.018924458130973,0.6552670331691206,3504.0759493670885,5040.687593423019,0.4388888888888889,0.37166666666666665,0.18944444444444444,1062.5785920925748,2376.5627705627708,16.07377049180328,0.4455159112825458,0.23529411764705882,0.3191899710703954,2242.7740303541314,3406.3152173913045,1269.7785016286646,0.4654300168634064,0.5177065767284992,0.016863406408094434,21815.182352941178,14040.48076923077,25241.322033898305,0.3058823529411765,0.6941176470588235,0.0
